constructorId,constructorName,mu,sigma
9,Red Bull,33.39142563307713,0.7375896848734949
131,Mercedes,32.80206200092124,0.7265502241632192
6,Ferrari,30.630507544854183,0.7255281808484704
211,Racing Point,27.804105483952892,1.0512306213811642
1,McLaren,27.79326076713837,0.7266324016528647
10,Force India,27.403486510244747,0.7313936943745909
208,Lotus F1,27.295001242845608,0.833587205715838
213,AlphaTauri,26.038748924312202,0.8155903269813896
215,RB F1 Team,24.808564702489747,1.2908684927264606
4,Renault,24.724238324427425,0.7559387918789229
3,Williams,24.606385698508173,0.7315174121870673
214,Alpine F1 Team,24.570460862996576,0.7882209377254666
5,Toro Rosso,24.525083790924977,0.7375160293592139
117,Aston Martin,24.30216378502665,0.7851119606821597
210,Haas F1 Team,23.58368054604351,0.7273930537682967
206,Marussia,23.406188820457434,0.946578998704929
15,Sauber,22.21313207849125,0.7299429987736861
209,Manor Marussia,20.693941236743264,1.1498109419782803
51,Alfa Romeo,20.370309351050334,0.7697370017437075
207,Caterham,20.082801248115153,0.936377056545207
205,Lotus,19.85783979221904,1.6213449405897884
166,Virgin,17.942162122942705,1.610585706037737
164,HRT,17.3068903474948,1.138307839898792
